Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
34,0.0,599.9999999871599,77.90358971691126,0.0,2501.720375342248,106698.38453730528,1093373.0752224086
35,0.0,599.9999999800449,161.19731627108752,0.0,2651.6338794743597,106698.38453730528,1093373.0752224086
36,0.0,599.9999999793764,0.0,7.339170677226785,2644.0677241370126,106698.38453730528,1093373.0752224086
37,0.0,599.9999999360195,391.6364951262933,0.0,3008.289664604465,106698.38453730528,1093373.0752224086
38,0.0,493.5619415171827,8.962499690295431e-07,0.0,3008.2896654379774,106698.38453730528,1093373.0752224086
39,0.0,214.65790361567045,8.340846026056286e-07,0.0,3008.289666213676,106698.38453730528,1093373.0752224086
40,0.0,9.393670336602362e-09,0.0,45.449646518637124,2961.4343605243594,106698.38453730528,1093373.0752224086
41,0.0,1.0691423469235552e-08,0.0,306.6886464052124,2645.2604982509447,106698.38453730528,1093373.0752224086
42,0.0,2.4778612244501098e-08,0.0,372.8899986817786,2260.837819197565,106698.38453730528,1093373.0752224086
43,0.0,391.39157885895145,0.0,545.8615767499514,1698.0939256409138,106698.38453730528,1093373.0752224086
44,0.0,599.9999999738906,0.0,754.9000001078907,919.8465028492737,106698.38453730528,1093373.0752224086
45,0.0,599.9999995045009,0.0,679.2399986725009,219.59908153741708,106698.38453730528,1093373.0752224086
46,0.0,2.9736013252880723e-08,0.0,22.210001579736012,196.70217269232808,106698.38453730528,1093373.0752224086
47,0.0,1.4012871224626536e-08,0.0,18.93000217101287,177.1867065366455,106698.38453730528,1093373.0752224086
48,0.0,1.0148300338132266e-08,0.0,18.2900013221483,158.33103507051283,106698.38453730528,1093373.0752224086
49,18.360002830183333,0.0,1.0318333542723593e-07,0.0,158.3310351664736,106698.38453730528,1093373.0752224086
50,542.7876802503051,0.0,524.3276779203052,0.0,645.955775632357,106698.38453730528,1093373.0752224086
51,542.787680249982,0.0,524.3276779199821,0.0,1133.5805160979403,106698.38453730528,1093373.0752224086
52,542.7876802498125,0.0,524.2576821478125,0.0,1621.140160495406,106698.38453730528,1093373.0752224086
53,542.7876802496958,0.0,524.4576813536959,0.0,2108.885804154343,106698.38453730528,1093373.0752224086
54,542.7876802779734,0.0,524.5376821929734,0.0,2596.7058485938082,106698.38453730528,1093373.0752224086
55,134.7109082519191,0.0,239.19627802861876,0.0,2819.158387160424,106698.38453730528,1093373.0752224086
56,0.0,599.9999999906441,0.0,230.06099475598674,2581.982103906829,106698.38453730528,1093373.0752224086
57,0.0,599.9999999951265,0.0,260.3380792151512,2313.5923315200753,106698.38453730528,1093373.0752224086
58,0.0,599.9999999958729,0.0,82.76022590435956,2228.272511000117,106698.38453730528,1093373.0752224086
59,0.0,599.9999999954127,149.6704101856375,0.0,2367.46599247276,106698.38453730528,1093373.0752224086
60,0.0,599.9999999944667,199.19237024044543,0.0,2552.714896796374,106698.38453730528,1093373.0752224086
61,0.0,599.9999999940303,401.4949477245203,0.0,2926.1051981801775,106698.38453730528,1093373.0752224086
62,0.0,599.9999999941016,88.37039574687154,0.0,3008.289666224768,106698.38453730528,1093373.0752224086
63,0.0,435.0648077658342,0.0,4.300684966556177e-09,3008.2896662203343,106698.38453730528,1093373.0752224086
64,0.0,159.08880600394542,0.0,5.647837321700648e-09,3008.2896662145117,106698.38453730528,1093373.0752224086
