Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
24,3522.104367333401,2110.4551405689995,2160.5203987729997,2110.4551405689995,528.689994209,2394.989911066401,1174.5876081735403,-35076.69159876786,274025.26392705855
25,3759.8748262189083,2060.8503191570003,2393.4227769729996,2060.8503191570003,573.940000281,2653.1679159439086,1171.8983286538075,-35076.69159876786,274025.26392705855
26,5433.132554948143,2014.9562761960003,2545.588189427,2014.9562761960003,102.53999927199999,2821.8470118911428,791.144448052105,-35076.69159876786,274025.26392705855
27,1337.1213141920343,2040.555286902,1846.724427382,2040.555286902,1515.0516481710001,2047.1393718900347,796.9312866488443,-35076.69159876786,274025.26392705855
28,893.1467986071622,2115.57853549,224.758792857,2115.57853549,0.0,2039.6341235971622,1134.4622683092537,-35076.69159876786,274025.26392705855
29,2141.7958076687587,1863.952061549,2281.339462648,1863.952061549,0.0,738.4373269127593,1376.854331500171,-35076.69159876786,274025.26392705855
30,3334.6737435679174,2168.576992392,2489.489561688,2168.576992392,0.0,2759.660305606917,1196.1331254550482,-35076.69159876786,274025.26392705855
31,4290.365415632703,2196.6978708429997,2389.259111993,2196.6978708429997,86.33000211700005,2648.552391079703,1206.860365312113,-35076.69159876786,274025.26392705855
32,4723.471476777742,2088.3189443730002,2828.5199999999995,2088.3189443730002,390.1665356539994,3135.483870967742,851.3251720365121,-35076.69159876786,274025.26392705855
33,2322.9599007711863,2098.336638314,1621.905159398,2098.336638314,196.67000196400002,1797.9216931581866,516.6187779313868,-35076.69159876786,274025.26392705855
34,1675.3271034336267,2028.5550763329998,1677.9417621759999,2028.5550763329998,488.310001028,2178.4139304456266,1156.831858719037,-35076.69159876786,274025.26392705855
35,215.0860959171756,1927.366213667,967.7890615028243,1927.366213667,762.559998533,1743.4413697260002,889.7526638789333,-35076.69159876786,274025.26392705855
36,2362.9236640210215,2161.5381625289997,2593.2338623199994,2161.5381625289997,203.33999642300006,1885.6656908480213,1290.9497245101218,-35076.69159876786,274025.26392705855
37,2806.1766933225576,2221.401754647,2323.0541905229993,2221.401754647,34.249998955000024,2575.1626100465583,916.1924318355059,-35076.69159876786,274025.26392705855
38,2239.083878920742,1951.1459214119998,1998.3180072614819,1951.1459214119998,296.29320546848203,2215.1845773877417,1117.417688086058,-35076.69159876786,274025.26392705855
39,3096.860452614599,2008.535260843,1873.7299188899997,2008.535260843,0.0,2077.075622314599,781.3598912206841,-35076.69159876786,274025.26392705855
40,3179.6979272188764,2113.571463667,2053.907453541865,2113.571463667,0.0,2276.806843522742,1062.5376782642045,-35076.69159876786,274025.26392705855
41,528.3824206943235,2231.9180723920003,109.40000583599999,2231.9180723920003,106.42420580925798,1962.0662918290657,885.0341524905708,-35076.69159876786,274025.26392705855
42,17.460000657,1816.7109867650001,1763.1499984180002,1816.7109867650001,2943.5875830527693,239.97340104423006,1499.2629934090792,-35076.69159876786,274025.26392705855
43,1947.18184302963,2135.897825353,2085.180460225003,2135.897825353,14.118416616003287,2185.2017043986298,926.6011810857038,-35076.69159876786,274025.26392705855
44,3152.145930305452,2121.98068451,1966.4362097782891,2121.98068451,0.0,2179.8428220577416,1096.395545900582,-35076.69159876786,274025.26392705855
45,448.05169863281344,2337.9778754900003,1583.3799736670096,2337.9778754900003,1889.1804603820096,1817.0490781798135,545.5687719957763,-35076.69159876786,274025.26392705855
46,69.210001179,2132.0546792940004,896.169997979,2132.0546792940004,1113.515382756777,1649.3792830422235,620.9782891105137,-35076.69159876786,274025.26392705855
47,0.0,2019.941315353,2130.379995424,2019.941315353,2040.5802626779996,1778.101040862,889.4134294235831,-35076.69159876786,274025.26392705855
