Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,13.720000833,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
2,14.299999659,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
3,13.759998416999998,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
4,14.470000677,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
5,13.890001850999997,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
6,14.180001264,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
7,13.790002248,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
8,13.640000021999997,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
9,13.871002488999999,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
10,0.0,428.06099766700004,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
11,0.0,481.146999255,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
12,0.0,106.194997511,400.0,0.0,472.0,-14640.646814051941,486881.59599082614
13,0.0,106.01399766700007,400.0,0.0,844.0,-14640.646814051941,486881.59599082614
14,0.0,95.12199742600001,400.0,0.0,1216.0,-14640.646814051941,486881.59599082614
15,0.0,63.36900149799999,400.0,0.0,1588.0,-14640.646814051941,486881.59599082614
16,0.0,54.633127683258124,335.4838709677419,0.0,1900.0,-14640.646814051941,486881.59599082614
17,0.0,210.971998858,0.0,0.0,1900.0,-14640.646814051941,486881.59599082614
18,0.0,0.0,0.0,14.859999692999999,1884.6804126876289,-14640.646814051941,486881.59599082614
19,0.0,0.0,0.0,15.159998501999999,1869.0515482525773,-14640.646814051941,486881.59599082614
20,0.0,385.09999708,0.0,400.0,1456.6804142319586,-14640.646814051941,486881.59599082614
21,0.0,384.460001878,0.0,400.0,1044.30928021134,-14640.646814051941,486881.59599082614
22,0.0,385.130000911,0.0,400.0,631.9381461907212,-14640.646814051941,486881.59599082614
23,0.0,157.39000667099955,0.0,171.39000752099955,455.2474167876289,-14640.646814051941,486881.59599082614
24,0.0,0.0,0.0,13.859998019999999,440.95875903505157,-14640.646814051941,486881.59599082614
25,0.0,0.0,0.0,13.679997605999999,426.85566871958764,-14640.646814051941,486881.59599082614
26,0.0,0.0,0.0,14.409998658,412.0,-14640.646814051941,486881.59599082614
27,413.829999832,0.0,400.0,0.0,784.0,-14640.646814051941,486881.59599082614
28,414.399999262,0.0,400.0,0.0,1156.0,-14640.646814051941,486881.59599082614
29,413.759998417,0.0,400.0,0.0,1528.0,-14640.646814051941,486881.59599082614
30,414.039998434,0.0,400.0,0.0,1900.0,-14640.646814051941,486881.59599082614
31,13.859998019999999,0.0,0.0,0.0,1900.0,-14640.646814051941,486881.59599082614
32,12.763582348537861,0.0,0.0,9.846417613462139,1889.84905400674,-14640.646814051941,486881.59599082614
33,0.0,0.0,0.0,183.470001264,1700.70472280674,-14640.646814051941,486881.59599082614
34,0.0,0.0,214.29599698200002,0.0,1900.0,-14640.646814051941,486881.59599082614
35,0.0,0.0,0.0,231.65000061899997,1661.1855663721649,-14640.646814051941,486881.59599082614
36,46.18199874199996,0.0,0.0,400.0,1248.8144323515462,-14640.646814051941,486881.59599082614
37,0.0,0.0,8.39800237,0.0,1256.6245745556462,-14640.646814051941,486881.59599082614
38,0.0,0.0,0.0,361.077001953,884.3802426453369,-14640.646814051941,486881.59599082614
39,439.49799819799995,0.0,0.0,0.0,884.3802426453369,-14640.646814051941,486881.59599082614
40,453.966867,0.0,0.0,15.661130752999952,868.2347470236875,-14640.646814051941,486881.59599082614
41,453.966867,0.0,0.0,2.593134116999977,865.5614128824504,-14640.646814051941,486881.59599082614
42,41.11542690402308,0.0,0.0,331.7745717529769,523.5257719,-14640.646814051941,486881.59599082614
43,0.0,0.0,0.0,154.46999789099996,364.27835139381443,-14640.646814051941,486881.59599082614
44,0.0,0.0,0.0,154.900000134,204.58762960618557,-14640.646814051941,486881.59599082614
45,0.0,0.0,0.0,79.239999168,122.89690881443299,-14640.646814051941,486881.59599082614
46,0.0,0.0,0.0,22.210001549999998,100.0,-14640.646814051941,486881.59599082614
47,18.930002156999997,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
48,18.290001311999998,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
49,18.360002726999998,0.0,0.0,0.0,100.0,-14640.646814051941,486881.59599082614
50,418.46000233,0.0,400.0,0.0,472.0,-14640.646814051941,486881.59599082614
51,353.9438732977419,0.0,335.4838709677419,0.0,784.0,-14640.646814051941,486881.59599082614
52,418.529998102,0.0,400.0,0.0,1156.0,-14640.646814051941,486881.59599082614
