Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,13.720000833,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
2,14.299999659,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
3,13.759998416999998,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
4,14.470000677,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
5,13.890001850999997,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
6,14.180001264,0.0,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
7,0.0,36.61247441510538,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
8,0.0,145.24780676526376,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
9,0.0,248.6129226190053,0.0,0.0,43.09569596167828,-40722.88261940616,1422658.3531116168
10,0.0,277.7530182540999,55.55410308779153,0.0,94.7610118333244,-40722.88261940616,1422658.3531116168
11,0.0,153.9959855226972,233.15380246927344,0.0,311.5940481297487,-40722.88261940616,1422658.3531116168
12,0.0,277.7530182540999,129.74771173388382,0.0,432.2594200422609,-40722.88261940616,1422658.3531116168
13,0.0,157.2761255247849,233.15380246927344,0.0,649.0924563386852,-40722.88261940616,1422658.3531116168
14,0.0,277.7530182540999,59.22431523192307,0.0,704.1710695043737,-40722.88261940616,1422658.3531116168
15,0.0,256.05332797182535,0.0,0.0,704.1710695043737,-40722.88261940616,1422658.3531116168
16,0.0,151.94823020852687,0.0,0.0,704.1710695043737,-40722.88261940616,1422658.3531116168
17,0.0,43.5528997096538,0.0,0.0,704.1710695043737,-40722.88261940616,1422658.3531116168
18,0.0,0.0,0.0,14.859999692999999,688.8514821920025,-40722.88261940616,1422658.3531116168
19,0.0,0.0,0.0,15.159998501999999,673.222617756951,-40722.88261940616,1422658.3531116168
20,0.0,0.0,0.0,14.90000292,657.8617900043737,-40722.88261940616,1422658.3531116168
21,0.0,0.0,0.0,15.539998121999998,641.8411733837552,-40722.88261940616,1422658.3531116168
22,0.0,0.0,0.0,14.869999088999998,626.511277415714,-40722.88261940616,1422658.3531116168
23,0.0,0.0,0.0,14.00000085,612.0782868487037,-40722.88261940616,1422658.3531116168
24,0.0,0.0,0.0,13.859998019999999,597.7896290961263,-40722.88261940616,1422658.3531116168
25,0.0,0.0,0.0,13.679997605999999,583.6865387806624,-40722.88261940616,1422658.3531116168
26,0.0,0.0,0.0,14.409998658,568.8308700610748,-40722.88261940616,1422658.3531116168
27,0.0,0.0,0.0,13.829999831999999,554.5731382755079,-40722.88261940616,1422658.3531116168
28,0.0,0.0,0.0,14.399999262,539.7277782115904,-40722.88261940616,1422658.3531116168
29,0.0,0.0,0.0,13.759998416999998,525.5422128332399,-40722.88261940616,1422658.3531116168
30,0.0,0.0,0.0,14.039998434,511.06798764354915,-40722.88261940616,1422658.3531116168
31,0.0,0.0,35.58243125250459,0.0,544.1596487083782,-40722.88261940616,1422658.3531116168
32,0.0,0.0,134.83773603021993,0.0,669.5587432164828,-40722.88261940616,1422658.3531116168
33,0.0,79.10290043956226,0.0,0.0,669.5587432164828,-40722.88261940616,1422658.3531116168
34,0.0,0.0,137.53702645740458,0.0,797.468177821869,-40722.88261940616,1422658.3531116168
35,0.0,135.50971732292686,0.0,0.0,797.468177821869,-40722.88261940616,1422658.3531116168
36,0.0,0.0,0.0,65.20926626501625,730.2421301259759,-40722.88261940616,1422658.3531116168
37,0.0,265.46677439687517,95.24311090958241,0.0,818.8182232718875,-40722.88261940616,1422658.3531116168
38,0.0,0.0,0.0,57.28264248853395,759.7639526651517,-40722.88261940616,1422658.3531116168
39,0.0,0.0,0.0,207.45669571033233,545.8910704895516,-40722.88261940616,1422658.3531116168
40,306.6517661954731,0.0,0.0,0.0,545.8910704895516,-40722.88261940616,1422658.3531116168
41,397.99712366978923,0.0,0.0,0.0,545.8910704895516,-40722.88261940616,1422658.3531116168
42,372.889998657,0.0,0.0,0.0,545.8910704895516,-40722.88261940616,1422658.3531116168
43,0.0,0.0,0.0,154.46999789099996,386.643649983366,-40722.88261940616,1422658.3531116168
44,154.900000134,0.0,0.0,0.0,386.643649983366,-40722.88261940616,1422658.3531116168
45,0.0,0.0,0.0,79.239999168,304.9529291916134,-40722.88261940616,1422658.3531116168
46,22.210001550000015,0.0,0.0,0.0,304.9529291916134,-40722.88261940616,1422658.3531116168
47,0.0,0.0,0.0,18.930002156999997,285.4374630503763,-40722.88261940616,1422658.3531116168
48,0.0,0.0,0.0,18.290001311999998,266.5817915947062,-40722.88261940616,1422658.3531116168
49,0.0,0.0,0.0,18.360002726999998,247.6539537318196,-40722.88261940616,1422658.3531116168
50,0.0,0.0,0.0,18.46000233,228.6230234947062,-40722.88261940616,1422658.3531116168
51,0.0,0.0,0.0,18.46000233,209.59209325759278,-40722.88261940616,1422658.3531116168
52,0.0,0.0,0.0,18.529998102,190.48900243078864,-40722.88261940616,1422658.3531116168
53,0.0,0.0,0.0,18.329998896,171.59209635243812,-40722.88261940616,1422658.3531116168
54,0.0,0.0,0.0,18.249998084999998,152.7776653369742,-40722.88261940616,1422658.3531116168
55,0.0,0.0,29.64235575046074,0.0,180.34505618490277,-40722.88261940616,1422658.3531116168
56,0.0,0.0,127.44763928173302,0.0,298.8713607169145,-40722.88261940616,1422658.3531116168
57,0.0,0.0,0.0,65.98721613108239,230.84330284981922,-40722.88261940616,1422658.3531116168
58,0.0,0.0,0.0,20.133067904796974,210.08756274178097,-40722.88261940616,1422658.3531116168
59,0.0,0.0,125.47967097104078,0.0,326.7836567448487,-40722.88261940616,1422658.3531116168
60,0.0,0.0,142.070705433826,0.0,458.9094127983069,-40722.88261940616,1422658.3531116168
61,0.0,136.66610472734186,233.15380246927344,0.0,675.7424490947312,-40722.88261940616,1422658.3531116168
62,0.0,0.0,136.7773809799091,0.0,802.9454134060468,-40722.88261940616,1422658.3531116168
63,0.0,0.0,11.453346976268449,0.0,813.5970260939765,-40722.88261940616,1422658.3531116168
64,0.0,0.0,0.0,102.86174354703004,707.5539915094095,-40722.88261940616,1422658.3531116168
65,365.67707437518845,0.0,0.0,0.0,707.5539915094095,-40722.88261940616,1422658.3531116168
66,454.10000298299997,0.0,0.0,0.0,707.5539915094095,-40722.88261940616,1422658.3531116168
67,0.0,0.0,0.0,156.10000101299997,546.6261554135332,-40722.88261940616,1422658.3531116168
68,158.17999952699995,0.0,0.0,0.0,546.6261554135332,-40722.88261940616,1422658.3531116168
69,0.0,0.0,0.0,120.85000270199998,422.03852376198677,-40722.88261940616,1422658.3531116168
70,0.0,0.0,0.0,23.690002445999998,397.61584082796617,-40722.88261940616,1422658.3531116168
71,0.0,0.0,0.0,18.999997928999996,378.02821409703836,-40722.88261940616,1422658.3531116168
72,0.0,0.0,0.0,18.470001726,358.98697520425486,-40722.88261940616,1422658.3531116168
73,0.0,0.0,0.0,18.499999913999996,339.91481034446105,-40722.88261940616,1422658.3531116168
74,0.0,0.0,0.0,18.539997497999998,320.8014108619868,-40722.88261940616,1422658.3531116168
75,0.0,0.0,0.0,18.539997497999998,301.6880113795126,-40722.88261940616,1422658.3531116168
76,0.0,0.0,0.0,18.580000724999998,282.5333714568322,-40722.88261940616,1422658.3531116168
77,0.0,0.0,0.0,18.499999913999996,263.46120659703837,-40722.88261940616,1422658.3531116168
78,0.0,0.0,0.0,18.470001726,244.41996770425487,-40722.88261940616,1422658.3531116168
79,0.0,0.0,30.502403538061532,0.0,272.78720299465203,-40722.88261940616,1422658.3531116168
80,0.0,0.0,133.63778409582073,0.0,397.07034220376534,-40722.88261940616,1422658.3531116168
81,193.91698215250773,0.0,0.0,0.0,397.07034220376534,-40722.88261940616,1422658.3531116168
82,156.05269037613476,0.0,0.0,0.0,397.07034220376534,-40722.88261940616,1422658.3531116168
83,0.0,0.0,0.0,20.59995292329694,375.83327733438705,-40722.88261940616,1422658.3531116168
84,0.0,0.0,0.0,49.12893731995467,325.1848883447425,-40722.88261940616,1422658.3531116168
85,0.0,141.0963886558025,233.15380246927344,0.0,542.0179246411668,-40722.88261940616,1422658.3531116168
86,0.0,0.0,0.0,82.38244980056004,457.0875640220327,-40722.88261940616,1422658.3531116168
87,202.7765556232447,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
88,304.9616750329862,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
89,389.6970310983023,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
90,361.09000035899993,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
91,204.88000034699996,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
92,227.12999948099997,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
93,216.72000187199998,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
94,24.76999928700002,0.0,0.0,0.0,457.0875640220327,-40722.88261940616,1422658.3531116168
95,0.0,0.0,0.0,19.400001984,437.0875619766719,-40722.88261940616,1422658.3531116168
96,0.0,0.0,0.0,18.529998102,417.9844711498678,-40722.88261940616,1422658.3531116168
97,0.0,0.0,0.0,18.799998723,398.6030291673935,-40722.88261940616,1422658.3531116168
98,0.0,0.0,0.0,18.580000724999998,379.4483892447131,-40722.88261940616,1422658.3531116168
99,0.0,0.0,0.0,18.599999517,360.2731320106925,-40722.88261940616,1422658.3531116168
100,0.0,0.0,0.0,18.619998309,341.0772574653317,-40722.88261940616,1422658.3531116168
101,0.0,0.0,0.0,18.439997895,322.06695035708424,-40722.88261940616,1422658.3531116168
102,0.0,0.0,0.0,18.529998102,302.9638595302801,-40722.88261940616,1422658.3531116168
103,0.0,0.0,29.53235675146074,0.0,330.4289513091386,-40722.88261940616,1422658.3531116168
104,0.0,0.0,133.06771153977687,0.0,454.1819230411311,-40722.88261940616,1422658.3531116168
105,162.36709628443776,0.0,0.0,0.0,454.1819230411311,-40722.88261940616,1422658.3531116168
106,0.0,0.0,0.0,112.93282836722238,337.75632678626266,-40722.88261940616,1422658.3531116168
107,0.0,0.0,0.0,47.28009595838466,289.01395981885577,-40722.88261940616,1422658.3531116168
108,0.0,0.0,0.0,51.779057334599315,235.63348833988744,-40722.88261940616,1422658.3531116168
109,0.0,143.47633761591646,233.15380246927344,0.0,452.46652463631176,-40722.88261940616,1422658.3531116168
110,0.39240414095922915,0.0,0.0,0.0,452.46652463631176,-40722.88261940616,1422658.3531116168
111,0.0,0.0,0.0,97.56643986160003,351.88256601610556,-40722.88261940616,1422658.3531116168
112,293.65153474489847,0.0,0.0,0.0,351.88256601610556,-40722.88261940616,1422658.3531116168
113,356.6369324111007,0.0,0.0,0.0,351.88256601610556,-40722.88261940616,1422658.3531116168
114,379.96999989299997,0.0,0.0,0.0,351.88256601610556,-40722.88261940616,1422658.3531116168
115,236.769998454,0.0,0.0,0.0,351.88256601610556,-40722.88261940616,1422658.3531116168
